ObjectId,Country,ISO2,ISO3,Indicator,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Unit,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
1,Albania,AL,ALB,Environmental Taxes,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTE,Environmental Taxes,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes",Domestic Currency,,,,,,,,,,,,,,,,,,,,,43993138348.27,47813792742.97,47548576614.95,51145591824.17,53415648050.56,,
2,Albania,AL,ALB,Environmental Taxes,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTE,Environmental Taxes,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes",Percent of GDP,,,,,,,,,,,,,,,,,,,,,3.06720620873782,3.24716268492612,3.06637313604198,3.12486507834958,3.15713338662001,,
3,Albania,AL,ALB,Taxes on Energy (including fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEN,Taxes on Energy (Including Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Energy (Including Fuel for Transport)",Domestic Currency,,,,,,,,,,,,,,,,,,,,,37741109827,40945615341,40400044445.82,43521821908.6,45165295551,,
4,Albania,AL,ALB,Taxes on Energy (including fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEN,Taxes on Energy (Including Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Energy (Including Fuel for Transport)",Percent of GDP,,,,,,,,,,,,,,,,,,,,,2.63131412607172,2.78072636825453,2.60536949374452,2.65907220109757,2.6694960691229,,
5,Albania,AL,ALB,Taxes on Pollution,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEP,Taxes on Pollution,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Pollution",Domestic Currency,,,,,,,,,,,,,,,,,,,,,1782068792.97,1879969501.87,1941324188.75,2226251450.57,2625011287.71,,
6,Albania,AL,ALB,Taxes on Pollution,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEP,Taxes on Pollution,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Pollution",Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.124246022707549,0.127673762424316,0.125194585506474,0.136018279687278,0.155151366296992,,
7,Albania,AL,ALB,Taxes on Resources,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTER,Taxes on Resources,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Resources",Domestic Currency,,,,,,,,,,,,,,,,,,,,,32546493,52524339,61861356.38,56011991,58777099.5,,
8,Albania,AL,ALB,Taxes on Resources,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTER,Taxes on Resources,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Resources",Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.00226914489736938,0.00356706849356322,0.00398939389708482,0.00342218964337053,0.00347402212595997,,
9,Albania,AL,ALB,Taxes on Transport (excluding fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTET,Taxes on Transport (Excluding Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Transport (Excluding Fuel for Transport)",Domestic Currency,,,,,,,,,,,,,,,,,,,,,4437413235.3,4935683561.1,5145346624,5341506474,5566564112.35,,
10,Albania,AL,ALB,Taxes on Transport (excluding fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTET,Taxes on Transport (Excluding Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Transport (Excluding Fuel for Transport)",Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.309376915061182,0.335195485753713,0.331819662893909,0.326352407921358,0.329011929074157,,
11,"Andorra, Principality of",AD,AND,Environmental Taxes,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTE,Environmental Taxes,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes",Domestic Currency,,,,,,,,,,,,,,,,,,,,,4600367270000,4616888784305.39,5043868510000,5283534540000,5675649250000,6462284890000,
12,"Andorra, Principality of",AD,AND,Taxes on Energy (including fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEN,Taxes on Energy (Including Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Energy (Including Fuel for Transport)",Domestic Currency,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
13,"Andorra, Principality of",AD,AND,Taxes on Pollution,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEP,Taxes on Pollution,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Pollution",Domestic Currency,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
14,"Andorra, Principality of",AD,AND,Taxes on Resources,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTER,Taxes on Resources,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Resources",Domestic Currency,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
15,"Andorra, Principality of",AD,AND,Taxes on Transport (excluding fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTET,Taxes on Transport (Excluding Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Transport (Excluding Fuel for Transport)",Domestic Currency,,,,,,,,,,,,,,,,,,,,,4600367270000,4616888784305.39,5043868510000,5283534540000,5675649250000,6462284890000,
16,Antigua and Barbuda,AG,ATG,Environmental Taxes,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTE,Environmental Taxes,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes",Domestic Currency,2400000,3400000,2900000,3000000,2800000,4200000,4000000,4100000,3600000,20040000,19740000,20240000,22440000,24530000,17410000,19570000,7720000,8670000,23220000,7900000,13300000,9060000,12460000,13650000,13120000,8000000,
17,Antigua and Barbuda,AG,ATG,Environmental Taxes,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2022-10-05; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTE,Environmental Taxes,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes",Percent of GDP,0.15,0.2,0.16,0.15,0.14,0.19,0.19,0.19,0.16,0.81,0.71,0.65,0.63,0.66,0.52,0.63,0.25,0.27,0.73,0.23,0.37,0.23,0.31,0.31,0.29,0.22,
